id,query,category,expected_law,expected_article,expected_article_id,expected_keywords,rank,hit_at_1,hit_at_3,hit_at_5,latency_ms,retrieved_articles
11,높은 곳 추락 사고를 막기 위한 기본 조치는?,추락,산업안전보건기준에 관한 규칙,제42조,100,"[""추락"", ""방지""]",,False,False,False,5806.88,"[{""article_id"": 363, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제306조"", ""article_title"": ""교류아크용접기 등""}, {""article_id"": 674, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제624조"", ""article_title"": ""안전대 등""}, {""article_id"": 475, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제418조"", ""article_title"": ""교량에서의 추락 방지""}, {""article_id"": 472, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제415조"", ""article_title"": ""추락ㆍ충돌ㆍ협착 등의 방지""}, {""article_id"": 471, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제414조"", ""article_title"": ""유도자의 지정 등""}]"
12,바닥 개구부에는 어떤 방호 조치를 해야 하나요?,추락,산업안전보건기준에 관한 규칙,제43조,101,"[""개구부"", ""방호""]",,False,False,False,4584.44,"[{""article_id"": 662, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제613조"", ""article_title"": ""청소의 실시""}, {""article_id"": 584, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제535조"", ""article_title"": ""감압 시의 조치""}, {""article_id"": 573, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제524조"", ""article_title"": ""기압조절실 공기의 부피와 환기 등""}, {""article_id"": 551, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제501조"", ""article_title"": ""바닥""}, {""article_id"": 543, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제495조"", ""article_title"": ""석면해체ㆍ제거작업 시의 조치""}]"
13,안전대 부착설비 설치 기준이 궁금합니다,추락,산업안전보건기준에 관한 규칙,제44조,102,"[""안전대"", ""부착설비""]",1,True,True,True,3117.38,"[{""article_id"": 102, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제44조"", ""article_title"": ""안전대의 부착설비 등""}, {""article_id"": 242, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제186조"", ""article_title"": ""고소작업대 설치 등의 조치""}, {""article_id"": 439, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제382조"", ""article_title"": ""가설통로의 설치""}]"
14,지붕 위 작업에서 추락 위험을 줄이는 방법은?,추락,산업안전보건기준에 관한 규칙,제45조,103,"[""지붕"", ""추락""]",1,True,True,True,4068.87,"[{""article_id"": 103, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제45조"", ""article_title"": ""지붕 위에서의 위험 방지""}]"
15,토사 붕괴 위험이 있는 장소의 안전 조치는?,붕괴,산업안전보건기준에 관한 규칙,제50조,108,"[""토사"", ""붕괴""]",1,True,True,True,3218.35,"[{""article_id"": 108, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제50조"", ""article_title"": ""토사등에 의한 위험 방지""}]"
16,구축물 안전성 평가는 언제 해야 합니까?,붕괴,산업안전보건기준에 관한 규칙,제52조,110,"[""구축물"", ""안전성 평가""]",1,True,True,True,3865.45,"[{""article_id"": 110, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제52조"", ""article_title"": ""구축물등의 안전성 평가""}]"
17,작업발판 최대 적재하중 기준은 어디에 있나요?,작업발판,산업안전보건기준에 관한 규칙,제55조,113,"[""작업발판"", ""최대적재하중""]",1,True,True,True,3994.13,"[{""article_id"": 113, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제55조"", ""article_title"": ""작업발판의 최대적재하중""}]"
18,작업발판 구조 요건을 알려주세요,작업발판,산업안전보건기준에 관한 규칙,제56조,114,"[""작업발판"", ""구조""]",,False,False,False,3976.4,"[{""article_id"": 466, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제409조"", ""article_title"": ""열차의 점검ㆍ수리 등""}, {""article_id"": 438, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제381조"", ""article_title"": ""승강로의 설치""}, {""article_id"": 393, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제333조"", ""article_title"": ""조립ㆍ해체 등 작업 시의 준수사항""}, {""article_id"": 390, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제331조의3"", ""article_title"": ""작업발판 일체형 거푸집의 안전조치""}, {""article_id"": 128, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제70조"", ""article_title"": ""시스템비계의 조립 작업 시 준수사항""}]"
19,비계 조립 해체 변경 작업의 준수사항은?,비계,산업안전보건기준에 관한 규칙,제57조,115,"[""비계"", ""조립 해체""]",1,True,True,True,3869.14,"[{""article_id"": 115, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제57조"", ""article_title"": ""비계 등의 조립ㆍ해체 및 변경""}, {""article_id"": 116, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제58조"", ""article_title"": ""비계의 점검 및 보수""}]"
20,비계 점검과 보수는 어떻게 해야 하나요?,비계,산업안전보건기준에 관한 규칙,제58조,116,"[""비계"", ""점검""]",2,False,True,True,4972.63,"[{""article_id"": 122, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제64조"", ""article_title"": ""달비계의 점검 및 보수""}, {""article_id"": 116, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제58조"", ""article_title"": ""비계의 점검 및 보수""}, {""article_id"": 115, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제57조"", ""article_title"": ""비계 등의 조립ㆍ해체 및 변경""}, {""article_id"": 225, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제169조"", ""article_title"": ""꼬임이 끊어진 섬유로프 등의 사용금지""}, {""article_id"": 223, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제167조"", ""article_title"": ""늘어난 달기체인 등의 사용 금지""}]"
21,강관비계를 조립할 때 지켜야 할 안전수칙은?,비계,산업안전보건기준에 관한 규칙,제59조,117,"[""강관비계"", ""조립""]",1,True,True,True,4554.88,"[{""article_id"": 117, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제59조"", ""article_title"": ""강관비계 조립 시의 준수사항""}, {""article_id"": 392, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제332조의2"", ""article_title"": ""동바리 유형에 따른 동바리 조립 시의 안전조치""}, {""article_id"": 720, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제670조"", ""article_title"": ""농약원재료 방제작업 시의 조치""}, {""article_id"": 528, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제471조"", ""article_title"": ""설비기준""}]"
22,달비계는 어떤 구조를 갖춰야 합니까?,비계,산업안전보건기준에 관한 규칙,제63조,121,"[""달비계"", ""구조""]",,False,False,False,4944.11,"[{""article_id"": 100, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제42조"", ""article_title"": ""추락의 방지""}, {""article_id"": 420, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제363조"", ""article_title"": ""조립도""}, {""article_id"": 403, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제346조"", ""article_title"": ""조립도""}, {""article_id"": 388, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제331조"", ""article_title"": ""조립도""}, {""article_id"": 254, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제198조"", ""article_title"": ""낙하물 보호구조""}]"
23,달비계 사용 전 점검 사항은 무엇인가요?,비계,산업안전보건기준에 관한 규칙,제64조,122,"[""달비계"", ""점검""]",1,True,True,True,3856.26,"[{""article_id"": 122, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제64조"", ""article_title"": ""달비계의 점검 및 보수""}, {""article_id"": 115, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제57조"", ""article_title"": ""비계 등의 조립ㆍ해체 및 변경""}, {""article_id"": 225, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제169조"", ""article_title"": ""꼬임이 끊어진 섬유로프 등의 사용금지""}, {""article_id"": 223, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제167조"", ""article_title"": ""늘어난 달기체인 등의 사용 금지""}, {""article_id"": 222, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제166조"", ""article_title"": ""이음매가 있는 와이어로프 등의 사용 금지""}]"
24,이동식비계 안전 기준을 알려줘,비계,산업안전보건기준에 관한 규칙,제68조,126,"[""이동식비계""]",1,True,True,True,2147.94,"[{""article_id"": 126, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제68조"", ""article_title"": ""이동식비계""}]"
25,시스템비계 구조 기준은?,비계,산업안전보건기준에 관한 규칙,제69조,127,"[""시스템비계"", ""구조""]",,False,False,False,3587.59,"[{""article_id"": 128, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제70조"", ""article_title"": ""시스템비계의 조립 작업 시 준수사항""}, {""article_id"": 3, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제70조"", ""article_title"": ""시스템비계의 조립 작업 시 준수사항""}, {""article_id"": 722, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제673조"", ""article_title"": ""배달종사자에 대한 안전조치 등""}, {""article_id"": 717, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제667조"", ""article_title"": ""컴퓨터 단말기 조작업무에 대한 조치""}, {""article_id"": 706, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제656조"", ""article_title"": ""정의""}]"
26,시스템비계 조립 작업 시 준수사항을 알려줘,비계,산업안전보건기준에 관한 규칙,제70조,128,"[""시스템비계"", ""조립""]",1,True,True,True,3281.3,"[{""article_id"": 128, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제70조"", ""article_title"": ""시스템비계의 조립 작업 시 준수사항""}, {""article_id"": 3, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제70조"", ""article_title"": ""시스템비계의 조립 작업 시 준수사항""}]"
27,국소배기장치 후드 설치 기준이 궁금합니다,환기,산업안전보건기준에 관한 규칙,제72조,129,"[""후드"", ""국소배기""]",2,False,True,True,3170.87,"[{""article_id"": 550, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제500조"", ""article_title"": ""국소배기장치의 성능 등""}, {""article_id"": 129, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제72조"", ""article_title"": ""후드""}]"
28,환기 덕트에 관한 안전 기준은?,환기,산업안전보건기준에 관한 규칙,제73조,130,"[""덕트"", ""환기""]",,False,False,False,3548.54,"[{""article_id"": 692, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제641조"", ""article_title"": ""안전한 작업방법 등의 주지""}, {""article_id"": 689, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제638조"", ""article_title"": ""사후조치""}, {""article_id"": 685, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제634조"", ""article_title"": ""가스배관공사 등에 관한 조치""}, {""article_id"": 680, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제629조"", ""article_title"": ""용접 등에 관한 조치""}, {""article_id"": 679, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제628조의2"", ""article_title"": ""이산화탄소를 사용하는 소화설비 및 소화용기에 대한 조치""}]"
29,배풍기 설치와 사용 기준을 알려주세요,환기,산업안전보건기준에 관한 규칙,제74조,131,"[""배풍기""]",,False,False,False,4310.46,"[{""article_id"": 661, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제612조"", ""article_title"": ""사용 전 점검 등""}, {""article_id"": 550, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제500조"", ""article_title"": ""국소배기장치의 성능 등""}, {""article_id"": 513, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제456조"", ""article_title"": ""사용 전 점검 등""}, {""article_id"": 498, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제441조"", ""article_title"": ""사용 전 점검 등""}, {""article_id"": 487, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제430조"", ""article_title"": ""전체환기장치의 성능 등""}]"
30,환기장치는 작업 중 어떻게 가동해야 하나요?,환기,산업안전보건기준에 관한 규칙,제78조,135,"[""환기장치"", ""가동""]",,False,False,False,3641.15,"[{""article_id"": 723, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제674조"", ""article_title"": ""규제의 재검토""}, {""article_id"": 720, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제670조"", ""article_title"": ""농약원재료 방제작업 시의 조치""}, {""article_id"": 719, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제669조"", ""article_title"": ""직무스트레스에 의한 건강장해 예방 조치""}, {""article_id"": 718, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제668조"", ""article_title"": ""비전리전자기파에 의한 건강장해 예방 조치""}, {""article_id"": 717, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제667조"", ""article_title"": ""컴퓨터 단말기 조작업무에 대한 조치""}]"
31,기계 운전 시작 전에는 어떤 조치를 해야 하나요?,기계,산업안전보건기준에 관한 규칙,제89조,147,"[""운전 시작 전"", ""조치""]",1,True,True,True,3774.07,"[{""article_id"": 147, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제89조"", ""article_title"": ""운전 시작 전 조치""}]"
32,정비 작업 중 기계 운전을 정지해야 하는 기준은?,기계,산업안전보건기준에 관한 규칙,제92조,150,"[""정비"", ""운전정지""]",1,True,True,True,2700.43,"[{""article_id"": 150, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제92조"", ""article_title"": ""정비 등의 작업 시의 운전정지 등""}, {""article_id"": 375, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제318조"", ""article_title"": ""전기작업자의 제한""}]"
33,기계 방호장치를 임의로 해체해도 되나요?,기계,산업안전보건기준에 관한 규칙,제93조,151,"[""방호장치"", ""해체""]",5,False,False,True,4266.79,"[{""article_id"": 543, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제495조"", ""article_title"": ""석면해체ㆍ제거작업 시의 조치""}, {""article_id"": 453, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제396조"", ""article_title"": ""무포장 화물의 취급방법""}, {""article_id"": 375, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제318조"", ""article_title"": ""전기작업자의 제한""}, {""article_id"": 318, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제261조"", ""article_title"": ""안전밸브 등의 설치""}, {""article_id"": 151, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제93조"", ""article_title"": ""방호장치의 해체 금지""}]"
34,회전기계 작업 때 장갑 착용이 금지되는 경우는?,기계,산업안전보건기준에 관한 규칙,제95조,153,"[""장갑"", ""사용 금지""]",,False,False,False,3841.9,"[{""article_id"": 378, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제321조"", ""article_title"": ""충전전로에서의 전기작업""}, {""article_id"": 90, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제32조"", ""article_title"": ""보호구의 지급 등""}, {""article_id"": 358, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제301조"", ""article_title"": ""전기 기계ㆍ기구 등의 충전부 방호""}, {""article_id"": 723, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제674조"", ""article_title"": ""규제의 재검토""}, {""article_id"": 720, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제670조"", ""article_title"": ""농약원재료 방제작업 시의 조치""}]"
35,원형톱 톱날 접촉 사고 예방 장치는?,기계,산업안전보건기준에 관한 규칙,제101조,159,"[""원형톱"", ""톱날""]",1,True,True,True,3963.36,"[{""article_id"": 159, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제101조"", ""article_title"": ""원형톱기계의 톱날접촉예방장치""}]"
36,프레스 작업의 위험 방지 조치는 무엇인가요?,기계,산업안전보건기준에 관한 규칙,제103조,161,"[""프레스"", ""위험 방지""]",1,True,True,True,3628.41,"[{""article_id"": 161, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제103조"", ""article_title"": ""프레스 등의 위험 방지""}, {""article_id"": 162, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제104조"", ""article_title"": ""금형조정작업의 위험 방지""}, {""article_id"": 36, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제347조"", ""article_title"": ""붕괴 등의 위험 방지""}]"
37,양중기 정격하중 표시는 어떻게 해야 하나요?,양중,산업안전보건기준에 관한 규칙,제133조,190,"[""양중기"", ""정격하중""]",,False,False,False,5206.3,"[{""article_id"": 393, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제333조"", ""article_title"": ""조립ㆍ해체 등 작업 시의 준수사항""}, {""article_id"": 359, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제302조"", ""article_title"": ""전기 기계ㆍ기구의 접지""}, {""article_id"": 277, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제221조의5"", ""article_title"": ""인양작업 시 조치""}, {""article_id"": 226, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제170조"", ""article_title"": ""링 등의 구비""}, {""article_id"": 225, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제169조"", ""article_title"": ""꼬임이 끊어진 섬유로프 등의 사용금지""}]"
38,크레인 작업을 할 때 필요한 조치는?,양중,산업안전보건기준에 관한 규칙,제146조,203,"[""크레인"", ""작업""]",1,True,True,True,2876.54,"[{""article_id"": 203, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제146조"", ""article_title"": ""크레인 작업 시의 조치""}]"
